Payer Name_MDOnline,PayorID,Payer Name_ChangeHealthcare
SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY,38242,Southern Benefit Administrators Inc.
SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY,38242,Southern Benefit Administrators Inc.
SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY,38242,Southern Benefit Administrators Inc.
SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY,38242,Southern Benefit Administrators Inc.
SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY,38242,Southern Benefit Administrators Inc.
SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY,38242,Southern Benefit Administrators Inc.
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
1199 NATIONAL BENEFIT FUND,13162,1199 National Benefit Fund
3P  ADMINISTRATORS,20413,3P ADMIN
3P  ADMINISTRATORS,20413,3P ADMIN
3P  ADMINISTRATORS,20413,3P ADMIN
3P  ADMINISTRATORS,20413,3P ADMIN
3P  ADMINISTRATORS,20413,3P ADMIN
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A I BENEFIT PLAN ADMINISTRATORS,93044,A & I Benefit Plan Administrators
A.G.I.A.INC,95241,A.G.I.A. Inc.
A.G.I.A.INC,95241,A.G.I.A. Inc.
A.G.I.A.INC,95241,A.G.I.A. Inc.
A.G.I.A.INC,95241,A.G.I.A. Inc.
A.G.I.A.INC,95241,A.G.I.A. Inc.
A.G.I.A.INC,95241,A.G.I.A. Inc.
A.G.I.A.INC,95241,A.G.I.A. Inc.
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Group Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Group Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Group Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Group Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Group Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Group Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance (ACIA)
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance (ACIA)
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance (ACIA)
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance (ACIA)
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance (ACIA)
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance (ACIA)
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance Association
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance Association
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance Association
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance Association
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance Association
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Insurance Association
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Property-Casualty Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Property-Casualty Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Property-Casualty Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Property-Casualty Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Property-Casualty Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Auto Club Property-Casualty Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Meemic
AAA MINNESOTA/</br>IOWA (AUTO),11983,Meemic
AAA MINNESOTA/</br>IOWA (AUTO),11983,Meemic
AAA MINNESOTA/</br>IOWA (AUTO),11983,Meemic
AAA MINNESOTA/</br>IOWA (AUTO),11983,Meemic
AAA MINNESOTA/</br>IOWA (AUTO),11983,Meemic
AAA MINNESOTA/</br>IOWA (AUTO),11983,Member Select Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Member Select Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Member Select Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Member Select Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Member Select Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,Member Select Insurance Company
AAA MINNESOTA/</br>IOWA (AUTO),11983,The Auto Club Group
AAA MINNESOTA/</br>IOWA (AUTO),11983,The Auto Club Group
AAA MINNESOTA/</br>IOWA (AUTO),11983,The Auto Club Group
AAA MINNESOTA/</br>IOWA (AUTO),11983,The Auto Club Group
AAA MINNESOTA/</br>IOWA (AUTO),11983,The Auto Club Group
AAA MINNESOTA/</br>IOWA (AUTO),11983,The Auto Club Group
AAA MINNESOTA/</br>IOWA (AUTO),11983,Triple A
AAA MINNESOTA/</br>IOWA (AUTO),11983,Triple A
AAA MINNESOTA/</br>IOWA (AUTO),11983,Triple A
AAA MINNESOTA/</br>IOWA (AUTO),11983,Triple A
AAA MINNESOTA/</br>IOWA (AUTO),11983,Triple A
AAA MINNESOTA/</br>IOWA (AUTO),11983,Triple A
AARP,87726,AARP MedicareComplete through UHC / Oxford Medicare Network
AARP,87726,AARP MedicareComplete through UHC / Oxford Mosaic Network - AARP MedicareCo
AARP,87726,AARP MedicareComplete through UnitedHealthcare / Oxford Medicare Network
AARP,87726,AARP MedicareComplete through UnitedHealthcare / Oxford Mosaic Network
AARP,87726,AARP MedicareComplete through UnitedHealthcare/AARP MedicareComplete
AARP,87726,AARP MedicareComplete through UnitedHealthcare/AARP MedicareComplete
AARP,87726,Arnett Health Plan
AARP,87726,Arnett Health Plan
AARP,87726,OptumHealth
AARP,87726,OptumHealth / OptumHealth Behavioral Solutions of NM
AARP,87726,OptumHealth / OptumHealth Behavioral Solutions of NM
AARP,87726,OptumHealth Behavioral Solutions (formerly United Behavioral Health)
AARP,87726,OptumHealth Behavioral Solutions (formerly United Behavioral Health)
AARP,87726,UnitedHealthcare
AARP,87726,UnitedHealthcare / Definity Health Plan
AARP,87726,UnitedHealthcare / Empire Plan
AARP,87726,UnitedHealthcare / MAHP - MD IPA Optimum Choice and MLH
AARP,87726,UnitedHealthcare / MAHP - MD IPA Optimum Choice and MLH
AARP,87726,UnitedHealthcare / MAHP - MD IPA Optimum Choice MLH (formerly MAMSI)
AARP,87726,UnitedHealthcare / MAHP - MD IPA Optimum Choice MLH (formerly MAMSI)
AARP,87726,UnitedHealthcare / UnitedHealthcare Plan of River Valley
AARP,87726,UnitedHealthcare / UnitedHealthcare Plan of River Valley
AARP,87726,UnitedHealthcare / UnitedHealthcare West (UnitedHealthcare of CA OK OR
AARP,87726,UnitedHealthcare / UnitedHealthcare West (UnitedHealthcare of CA OK OR
AARP,87726,UnitedHealthcare Community Plan / DEFLHILAMDMSNMOH PARITXWAWI
AARP,87726,UnitedHealthcare Community Plan / IA hawk-i (formerly AmeriChoice of Iowa)
AARP,87726,UnitedHealthcare Community Plan / IA hawk-i (formerly AmeriChoice of Iowa)
AARP,87726,UnitedHealthcare Community Plan / IA hawk-i (formerly AmeriChoice of Iowa)
AARP,87726,UnitedHealthcare Community Plan / IA hawk-i (formerly AmeriChoice of Iowa)
AARP,87726,UnitedHealthcare Community Plan / MS CHIP (formerly AmeriChoice MS - CHIP)
AARP,87726,UnitedHealthcare Community Plan / MS CHIP (formerly AmeriChoice MS - CHIP)
AARP,87726,UnitedHealthcare Community Plan / NE
AARP,87726,UnitedHealthcare Community Plan / NE
AARP,87726,UnitedHealthcare Community Plan / NE (formerly Americhoice NEShareAdvantag
AARP,87726,UnitedHealthcare Community Plan / NY (formerly AmeriChoice Personal Care)
AARP,87726,UnitedHealthcare Community Plan / UnitedHealthcare Dual Complete
AARP,87726,UnitedHealthcare Community Plan / UnitedHealthcare Dual Complete
AARP,87726,UnitedHealthcare Community Plan / UnitedHealthcare Long Term Care
AARP,87726,UnitedHealthcare Community Plan / UnitedHealthcare Long Term Care
AARP,87726,UnitedHealthcare Community Plan of Louisiana
AARP,87726,UnitedHealthcare Community Plan of Louisiana
AARP,87726,UnitedHealthcare Community Plan/DEFLHILAMDMS CANNMOHPARITXWAWI
AARP,87726,UnitedHealthcare Community Plan/DEFLHILAMDMS CANNMOHPARITXWAWI
AARP,87726,UnitedHealthcare Community Plan/FLHILAMDMS CANNMOHRITXWI
AARP,87726,UnitedHealthcare Community Plan/FLHILAMDMS CANNMOHRITXWI
