"Payer Name","PayorID"
"(NLH) Netcare Life and Health Insurance","66055"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"1199 National Benefit Fund","13162"
"21st Century Health & Benefits","Call"
"21st Century Health & Benefits","Call"
"3P ADMIN","20413"
"3P ADMIN","20413"
"3P ADMIN","20413"
"3P ADMIN","20413"
"3P ADMIN","20413"
"888-OhioComp","26300"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A & I Benefit Plan Administrators","93044"
"A. D. N. Administrators Inc.","CXADN"
"A.G.I.A. Inc.","95241"
"A.G.I.A. Inc.","95241"
"A.G.I.A. Inc.","95241"
"A.G.I.A. Inc.","95241"
"A.G.I.A. Inc.","95241"
"A.G.I.A. Inc.","95241"
"A.G.I.A. Inc.","95241"
"AAG-American Administravie Group ( Formerly  Icon Benefit Admin)","75185"
"AAG-American Administravie Group ( Formerly  Icon Benefit Admin)","75185"
"AARP","AARP1"
"AARP","AARP1"
"AARP","AARP1"
"AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Co","36273"
"AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Co","36273"
"AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company","36273"
"AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company","36273"
"AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Co","36273"
"AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Co","36273"
"AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Compan","36273"
"AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Compan","36273"
"AARP MedicareComplete through UHC / Oxford Medicare Network","87726"
"AARP MedicareComplete through UHC / Oxford Mosaic Network - AARP MedicareCo","87726"
"AARP MedicareComplete through UnitedHealthcare / Oxford Medicare Network","6111"
"AARP MedicareComplete through UnitedHealthcare / Oxford Medicare Network","6111"
"AARP MedicareComplete through UnitedHealthcare / Oxford Medicare Network","87726"
"AARP MedicareComplete through UnitedHealthcare / Oxford Mosaic Network","6111"
"AARP MedicareComplete through UnitedHealthcare / Oxford Mosaic Network","6111"
"AARP MedicareComplete through UnitedHealthcare / Oxford Mosaic Network","87726"
"AARP MedicareComplete through UnitedHealthcare/AARP MedicareComplete","87726"
"AARP MedicareComplete through UnitedHealthcare/AARP MedicareComplete","87726"
"ACMG","37118"
"ACMG","37118"
"ACS Benefit Services Inc.","72468"
"ACS Benefit Services Inc.","72468"
"ACS Benefit Services Inc.","72468"
"ACS Benefit Services Inc","58379"
"ACS Benefit Services Inc","58379"
"ACS Benefit Services Inc","58379"
"ACS Benefit Services Inc.","72467"
"ACS Benefit Services Inc.","72467"
"ACS Benefit Services Inc.","72467"
"ACS Benefit Services Inc.","72467"
"ADOC (Affiliated Doctor's of Orange County)","ADOCS"
"ADV Medicare Advantage-CMCS","35199"
"ADV Medicare Advantage-CMCS","35199"
"ADVANCED DATA SOLUTIONS","58202"
"ADVANCED DATA SOLUTIONS","58202"
"AETNA ENCOUNTERS","99138"
"AFFINITY MEDICAL GROUP","46594"
"AFFINITY MEDICAL GROUP","46594"
"AFL-CIO Food & Beverage Dealer's Trust Fund (Toledo OH)","34444"
"AFLAC GA","58066"
"AFLAC GA - GRP","58066"
"AFLAC NY","52080"
"AFLAC NY - GRP","52080"
"AFTRA Health Fund","13346"
"AFTRA Health Fund","13346"
"AFTRA Health Fund","13346"
"AFTRA Health Fund","13346"
"AFTRA Health Fund","13346"
"AFTRA Health Fund","13346"
"AGA","37280"
"AGA","37280"
"AGC International Union of Operating Engineers Local 701","91136"
"AGC International Union of Operating Engineers Local 701","91136"
"AGC International Union of Operating Engineers Local 701","91136"
"AGC International Union of Operating Engineers Local 701","91136"
"AGC International Union of Operating Engineers Local 701","91136"
"AGC International Union of Operating Engineers Local 701","91136"
"AHPO (Cleveland OH)","31138"
"AHPO (Cleveland OH)","31138"
"AIAPT insured by Trustmark Insurance","58379"
"AIAPT insured by Trustmark Insurance","58379"
"AIAPT insured by Trustmark Insurance","58379"
"AIG Educational Markets","22195"
"AIG Educational Markets","22195"
"AK United Food and Commercial Workers (AK UFCW)","91136"
"AK United Food and Commercial Workers (AK UFCW)","91136"
"AK United Food and Commercial Workers (AK UFCW)","91136"
"AK United Food and Commercial Workers (AK UFCW)","91136"
"AK United Food and Commercial Workers (AK UFCW)","91136"
"AK United Food and Commercial Workers (AK UFCW)","91136"
"ALICARE","13550"
"ALICARE","13550"
"AMVI/Prospect Health Network (Prospect Medical Group)","PROSP"
"APAC (Pinnacle Health Resources) (Prospect Medical Group)","PROSP"
"ARAZ Group","16120"
"ARC Administrators","CXARC"
"ARC Administrators","CXARC"
"ARC Administrators","CXARC"
"ARISE","39185"
"ARISE","39185"
"ARISE","39185"
"ARISE","39185"
"ARISE","39185"
"ARISE","39185"
"ARM Grp","88035"
"ARM Grp","88035"
"ASAGEHA","6603"
"ASAGEHA","6603"
"ASAMT Insurance by Trustmark Insurance","58379"
"ASAMT Insurance by Trustmark Insurance","58379"
"ASAMT Insurance by Trustmark Insurance","58379"
"ASC of Oho","Call"
"ASC of Oho","Call"
"ASR","38265"
"ASR","38265"
"ASR Corporation","38265"
"ASR Corporation","38265"
"ASR Health Benefits","38265"
"ASR Health Benefits","38265"
"AVMED INC","59275"
"AVMED INC","59275"
"AXA Assistance_USA","65101"
"AXA Assistance_USA","65101"
"Absolute Total Care","68069"
"Absolute Total Care","68069"
"Absolute Total Care","68069"
"Acceptius (Benefit Management Inc of MO (BMI)","43178"
"Access Administrators","12T33"
"Access Administrators","TH067"
"Access Dental","CX097"
"Access Dental","CX097"
"Access Dental","CX097"
"Access Health","58379"
"Access Health","58379"
"Access Health","58379"
"Access IPA","CARMO"
"Access IPA","REGAL"
"Access Medical Group","95424"
"Acclaim","64071"
"Acclaim","64071"
"Acclaim","64071"
"Acclaim","64071"
"Acclaim","64071"
"Accountable Healthcare IPA","MPM23"
"Activa Benefit Services LLC/Dental","38255"
"Adaptis","91173"
"Adaptis","91173"
"Administration Systems Research Corporation","38265"
"Administration Systems Research Corporation","38265"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Concepts Inc.","22384"
"Administrative Service Professionals","20405"
"Administrative Services Inc.","59141"
"Administrative Services Inc.","59141"
"Adminstrative Services Only","CX076"
"Advantage Dental Plan Inc.","93524"
"Advantage Health IPA-CMCS","35199"
"Advantage Health IPA-CMCS","35199"
"Advantage Health Solutions","35209"
"Advantage Health Solutions","35209"
"Advantage Health Solutions","35209"
"Advantage Health Solutions","35209"
"Advantage Med Grp","NMM01"
"Advantage by Bridgeway Health Solutions","68069"
"Advantage by Bridgeway Health Solutions","68069"
"Advantage by Buckeye Community Health Plan","68069"
"Advantage by Buckeye Community Health Plan","68069"
"Advantage by Managed Health Services","68069"
"Advantage by Managed Health Services","68069"
"Advantage by Peach State","68069"
"Advantage by Peach State","68069"
"Advantage by Sunshine State","68069"
"Advantage by Sunshine State","68069"
"Advantage by Superior HealthPlan","68069"
"Advantage by Superior HealthPlan","68069"
"Advantek Benefit Administrators","83077"
"Advantek Benefit Administrators","83077"
"Advantek Benefit Administrators","83077"
"Advantica Benefits","43168"
"Advantica Benefits","43168"
"Advantica Benefits","43168"
"Advantica Benefits","43168"
"Advantica Benefits","59374"
"Advantica Benefits","59374"
"Advantica Benefits","59374"
"Advantra Savings","25133"
"Advantra Savings","25133"
"Advanzeon Solutions","59314"
"Advanzeon Solutions","59314"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Adventist Health System West - Roseville CA","95340"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Medical Group - AMG (Legacy AHC)","36320"
"Advocate Physician Partners","65093"
"Advocate Physician Partners","65093"
"Advocate Physician Partners","65093"
"Advocate Physician Partners","65093"
"Advocate Physician Partners","65093"
"Advocate Physician Partners","65093"
"Advocate Physician Partners","65093"
"Aegis Administrative Services","CB637"
"Aegis Administrative Services","CB637"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","60054"
"Aetna","68246"
"Aetna","68246"
"Aetna Affordable Health Choices (SM) - SRC","57604"
"Aetna Affordable Health Choices (SM) - SRC","57604"
"Aetna Affordable Health Choices (SM) - SRC","57604"
"Aetna Affordable Health Choices (SM) - SRC","57604"
"Aetna Better Health California","128CA"
"Aetna Better Health California","128CA"
"Aetna Better Health California","128CA"
"Aetna Better Health California","128CA"
"Aetna Better Health California","128CA"
"Aetna Better Health of Florida","128FL"
"Aetna Better Health of Florida","128FL"
"Aetna Better Health of Florida","128FL"
"Aetna Better Health of Florida","128FL"
"Aetna Better Health of Florida","128FL"
"Aetna Better Health of Florida","128FL"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Kentucky","128KY"
"Aetna Better Health of Maryland","128MD"
"Aetna Better Health of Maryland","128MD"
"Aetna Better Health of Maryland","128MD"
"Aetna Better Health of Maryland","128MD"
"Aetna Better Health of Maryland","128MD"
"Aetna Better Health of Michigan","128MI"
"Aetna Better Health of Michigan","128MI"
"Aetna Better Health of Michigan","128MI"
"Aetna Better Health of Michigan","128MI"
"Aetna Better Health of Michigan","128MI"
"Aetna Better Health of Michigan","128MI"
"Aetna Better Health of Missouri","128MO"
"Aetna Better Health of Missouri","128MO"
"Aetna Better Health of NY","34734"
"Aetna Better Health of NY","34734"
"Aetna Better Health of NY","34734"
"Aetna Better Health of NY","34734"
"Aetna Better Health of NY","34734"
"Aetna Better Health of NY","34734"
"Aetna Better Health of Nevada","128NV"
"Aetna Better Health of Nevada","128NV"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of Virginia","128VA"
"Aetna Better Health of West Virginia","128WV"
"Aetna Better Health of West Virginia","128WV"
"Aetna Better Health of West Virginia","128WV"
"Aetna Better Health of West Virginia","128WV"
"Aetna Better Health of West Virginia","128WV"
"Aetna Better Health of West Virginia","128WV"
"Aetna Better Health of West Virginia","128WV"
"Aetna Encounters","60055"
"Aetna Encounters","60055"
"Aetna Medicare EPO/PPO Dental","18014"
"Aetna Medicare EPO/PPO Dental","18014"
"Aetna Medicare EPO/PPO Dental","18014"
"Aetna Medicare EPO/PPO Dental","18014"
"Aetna Senior Supplemental Insurance (Aetna SSI)","62118"
"Aetna Senior Supplemental Insurance (Aetna SSI)","62118"
"Aetna Senior Supplemental Insurance (Aetna SSI)","62118"
"Aetna Senior Supplemental Insurance (Aetna SSI)","62118"
"Affiliated Doctors of Orange County","27344"
"Affiliated Doctors of Orange County","27344"
"Affiliated Doctors of Orange County (ADOC)","ADOCS"
"Affiliated Doctors of Orange County (ADOC)","ADOCS"
"Affiliated Physicians Group","APG01"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Health Plan","13334"
"Affinity Medicare Advantage","13333"
"Affinity Medicare Advantage","13333"
"Affinity Medicare Advantage","13333"
"Affinity Medicare Advantage","13333"
"AffinityAccess","23334"
"AffinityAccess","23334"
"AffinityAccess","23334"
"AffinityAccess","23334"
"Affordable Benefit Administrators Inc.","95426"
"Affordable Benefit Administrators Inc.","95426"
"Affordable Benefit Administrators Inc.","95426"
"Agate Resources Inc (LIPA)","20048"
"Agate Resources Inc (LIPA)","20048"
"Agate Resources Inc. (LIPA)","20048"
"AgeWell New York","AWNY6"
"AgeWell New York","AWNY6"
"AgeWell New York","AWNY6"
"AgeWell New York","AWNY6"
"Agency Services  Inc","64158"
"Agency Services  Inc","64158"
"Alaska Care Retiree LTC Plan","58379"
"Alaska Care Retiree LTC Plan","58379"
"Alaska Care Retiree LTC Plan","58379"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Carpenters Trust","91136"
"Alaska Children's Services Inc.","91136"
"Alaska Children's Services Inc.","91136"
"Alaska Electrical Health & Welfare Fund","92600"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Hotel Employees Restaurant & Camp Employees (AK HERE)","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Health & Security Trust","91136"
"Alaska Laborers Construction Industry Trust","91136"
"Alaska Laborers Construction Industry Trust","91136"
"Alaska Machinists Health and Welfare Trust","91136"
"Alaska Machinists Health and Welfare Trust","91136"
"Alaska Pipe Trades Local 375","91136"
"Alaska Pipe Trades Local 375","91136"
"Alaska Pipe Trades U A Local 375","91136"
"Alaska Pipe Trades U A Local 375","91136"
"Alaska Pipe Trades U A Local 375","91136"
"Alaska Pipe Trades U A Local 375","91136"
"Alaska Pipe Trades U A Local 375","91136"
"Alaska Pipe Trades U A Local 375","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska Public Employees Association (APEA/JESS Health & WelfareTrust)","91136"
"Alaska United Food & Commercial Workers Health & Welfare Trust","91136"
"Alaska United Food & Commercial Workers Health & Welfare Trust","91136"
"Albuquerque Public Schools","85600"
"Albuquerque Public Schools","85600"
"Albuquerque Public Schools","85600"
"Albuquerque Public Schools","85600"
"Alexian Brothers Community Services of TN","44423"
"Alexian Brothers Community Services of TN","44423"
"Alexian Brothers Community Services of TN","44423"
"Alexian Brothers Community Services of TN","44423"
"Alexian Brothers Community Services of TN","44423"
"Aliera Health Care","ALH01"
"Aliera Health Care","ALH01"
"Aliera Health Care","ALH01"
"Aliera Health Care","ALH01"
"Alignment Healthcare","AHCA1"
"Alignment Healthcare","AHCA1"
"AllCare CCO Dental","CXALC"
"AllCare PEBB","26158"
"AllCare PEBB","26158"
"Allcare IPA","24333"
"Allegeant","52193"
"Allegeant","52193"
"Allegeant","52193"
"Allegeant","52193"
"Allegeant","52193"
"Allegeant","52193"
"Allegian Choice","55649"
"Allegian Choice","55649"
"Allegian Health Plan","82420"
"Allegian Health Plan","82420"
"Allegiance Benefit Plan","81040"
"Allegiance Benefit Plan Management Inc.","81040"
"Allegiance Benefit Plan Management Inc.","81040"
"Allegiance Benefit Plan Management Inc.","81040"
"Allegiance Benefit Plan Management Inc.","81040"
"Alliance Behavioral Health (NC)","23071"
"Alliance Behavioral Health (NC)","23071"
"Alliance Healthcare/Florida for Stones River Regional IPA","Call"
"Alliance IPA","HCP01"
"Alliant Health Plans of Georgia","58234"
"Alliant Health Plans of Georgia","58234"
"Alliant Health Plans of Georgia","58234"
"Alliant Health Plans of Georgia","58234"
"Alliant Services","70106"
"Allianz Global Assistance","50749"
"Allianz Global Assistance","50749"
"Allied Benefit Systems","37308"
"Allied Benefit Systems","37308"
"Allied Benefit Systems","37308"
"Allied Benefit Systems","37308"
"Allied Benefit Systems","37308"
"Allied Health Systems Chiropractic","SX156"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Metal Crafts Security Plan Trust Fund","91136"
"Allied Physicians","NMM01"
"Allina Health | Aetna","54398"
"Allina Health | Aetna","54398"
"Alohacare","ALOHA"
"Alohacare","ALOHA"
"Alohacare","ALOHA"
"Alpha Care Medical Group","MPM32"
"Alpha Data","TH085"
"Alta Bates Medical Group","A0701"
"Alta Bates Medical Group","A0701"
"Alta Bates Medical Group","Call"
"Altius (Utah)","25133"
"Altius (Utah)","25133"
"Altius Health Plans","25133"
"Altius Health Plans","25133"
"AlwaysCare Benefits","STR01"
"AmFirst Insurance Company","58379"
"AmFirst Insurance Company","58379"
"AmFirst Insurance Company","58379"
"AmFirst Insurance Company","64090"
"AmFirst Insurance Company","64090"
"AmFirst Insurance Company","64090"
"AmFirst Insurance Company","64090"
"Amalgamated Life","13550"
"Amalgamated Life","13550"
"Amalgamated Life","13550"
"Amalgamated Life","13550"
"Amalgamated Life","13550"
"Amalgamated Life","13550"
"Amalgamated Life - PA / Alicare","13343"
"Amalgamated Life - PA / Alicare","13343"
"Amalgamated Life - PA / Alicare","13343"
"Amalgamated Life - PA / Alicare","13343"
"Amalgamated Life - PA / Alicare","13343"
"Ambay Health Network","AMBHN"
"Ambay Health Network","AMBHN"
"Ambetter from Buckeye Community Health Plan","68069"
"Ambetter from Buckeye Community Health Plan","68069"
"Ambetter from CeltiCare Health Plan","68069"
"Ambetter from CeltiCare Health Plan","68069"
"Ambetter from Magnolia Health","68069"
"Ambetter from Magnolia Health","68069"
"Ambetter from Managed Health Services","68069"
"Ambetter from Managed Health Services","68069"
"Ambetter from Peach State Health Plan","68069"
"Ambetter from Peach State Health Plan","68069"
"Ambetter from Sunshine Health","68069"
"Ambetter from Sunshine Health","68069"
"Ambetter from Superior Health","68069"
"Ambetter from Superior Health","68069"
"Ambetter of Arkansas","68069"
"Ambetter of Arkansas","68069"
"AmeraPlan","38219"
"AmeraPlan","38219"
"AmeraPlan","38219"
"AmeraPlan","38219"
"AmeraPlan","38219"
"AmeraPlan","58379"
"AmeraPlan","58379"
"AmeraPlan","58379"
"Ameri Health PPO NJ","12X28"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriBen Solutions Inc.","75137"
"AmeriHealth Administrators","54763"
"AmeriHealth Administrators","54763"
"AmeriHealth Administrators","54763"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Delaware","77799"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Iowa","77075"
"AmeriHealth Caritas Louisiana","27357"
"AmeriHealth Caritas Louisiana","27357"
