"Payer Name","PayorID"
"FIRST CHOICE MEDICAL GROUP/</br>MERITAGE","FC001"
"SOUTHERN BENEFIT ADMINISTRATORS- ERA ONLY","38242"
"UNIVERSAL HEALTHCARE IPA","UHIPA"
"(FMTAC) (NEW YORK MTA) (AUTO)","J4183"
"(FMTAC) (NEW YORK MTA) (WORK COMP)","J418W"
"1199 NATIONAL BENEFIT FUND","13162"
"1ST AUTO & CASUALTY  (AUTO)(ATTACHMENT (CA)","C1590"
"1ST AUTO & CASUALTY  (WC)(ATTACHMENT)","C2042"
"1ST AUTO & CASUALTY (AUTO)(ATTACHMENT)","J1585"
"1ST RELIANCE STANDARD LIFE - ERA ONLY","1STRE"
"2020 EYECARE","2020E"
"21ST CENTURY INSURANCE  (WC)(ATTACHMENT)(CA)","E0657"
"21ST CENTURY INSURANCE (WC)","41556"
"21ST CENTURY INSURANCE (WC)(ATTACHMENT)","41556"
"22125 ROSCOE CORP. (WC)","41556"
"3M COMPANY - WC","J2392"
"3P  ADMINISTRATORS","20413"
"6 DEGREES HEALTH INCORPORATED","20446"
"99 CENTS ONLY STORES","J4399"
"A I BENEFIT PLAN ADMINISTRATORS","93044"
"A-G ADMINISTRATORS, INC - ERA ONLY","AGADM"
"A.G. ADMINISTRATORS LLC","11370"
"A.G.I.A.INC","95241"
"A.W. HOLDINGS LLC DBA BENCHMA (AUTO)(ATTACHMENT","J1976"
"AAA MINNESOTA/</br>IOWA (AUTO)","11983"
"AAA NORTHERN CALIFORNIA, NEVADA & UTAH INSU (WC)","41556"
"AARP","87726"
"AARP INSURED BY UNITEDHEALTHCARE INSURANCE COMPANY","36273"
"ABC CONST. COMPANY (WC)","41556"
"ABERCROMBIE & FITCH - WC","J2393"
"ABF FREIGHT SYSTEM, INC. (ARKBEST) (AUTO)","J3789"
"ABF FREIGHT SYSTEM, INC. (ARKBEST) (WC)","P3789"
"ABF FREIGHT SYSTEMS, INC (WC)","J2096"
"ABMG - CLAIMS (DOS AFTER 07-01-2010 ONLY)","A0701"
"ABRAZO ADVANTAGE HEALTH PLAN","3443"
"ABRH, LLC. - WC","J2394"
"ABSHER CONSTRUCTION COMPANY - WC","J2395"
"ABSOLUTE TOTAL CARE","68055"
"ACADEMY EXPRESS, LLC - WC","J2396"
"ACADEMY SPORTS & OUTDOORS INC CORVEL","J4425"
"ACADEMY SPORTS PLUS OUTDOORS - WC","J2397"
"ACADIA HEALTHCARE MANAGEMENT COMPANY INC (AUTO)","A4140"
"ACADIA HEALTHCARE MANAGEMENT COMPANY INC (WC)","J4140"
"ACADIA INSURANCE COMPANY (WC)(ATTACHMENT)","J1477"
"ACCD (WC)","J3729"
"ACCELERATED","90748"
"ACCENTCARE, INC - WC","J2398"
"ACCENTURE LLP - WC","J2399"
"ACCESS ADMINISTRATORS","AHS01"
"ACCESS COMMUNITY HEALTH NETWORK -CHICAGO FAMILY HEALTH NETWORK PATIENTS","51909"
"ACCESS INTEGRA","INTEG"
"ACCESS IPA - ACC01","ACC01"
"ACCESS IPA -REGAL","REGAL"
"ACCESS MEDICAL GROUP","95424"
"ACCESS MEDICAL GROUP -AMG02","AMG02"
"ACCESS TPA - ERA ONLY","TPAAC"
"ACCG - ERA ONLY","ACCG"
"ACCIDENT FUND INSURANCE CO OF AMERICA  (WC)(ATTACHMENT)","J1790"
"ACCOUNTABLE IPA","AHIPA"
"ACCURIDE CORPORATION (WC)","J1024"
"ACE CASH EXPRESS, INC. - WC","J2400"
"ACE HARDWARE - WC","J2401"
"ACE PROPERTY & CASUALTY INS CO (WC)","41556"
"ACE USA (ROCKLIN OFFICE) (WC)","J2226"
"ACE USA (WC)","J2285"
"ACIG  INSURANCE COMPANY - CORVEL (AUTO)","J1578"
"ACIG  INSURANCE COMPANY - CORVEL (WC)","P1578"
"ACLOCHE - WC","J2402"
"ACS BENEFIT SERVICES INC","72467"
"ACS BENEFITS","PA331"
"ACTIVA BENEFIT SRVC/</br>AKA AMWAY CORP","38254"
"ACTIVE CARE, INC (AUTO)","J3840"
"ACTIVE CARE, INC (WC)","P3840"
"ACTIVE CARE, INC (WC)","P3840"
"ACTIVE HEALTHCARE","ACH01"
"ACTIVHEALTHCARE","AHC01"
"ACTS RETIREMENT - LIFE COMMUNITIES - CORV (AUTO)","J2163"
"ACTS RETIREMENT - LIFE COMMUNITIES - CORVEL (WC)","P2163"
"ACWA JPI (AUTO)","J2286"
"ACWA JPI (WC)","P2286"
"AD-COMP - CORVEL (AUTO)","J1667"
"AD-COMP - CORVEL (WC)","P1667"
"AD-COMP - CORVEL (WC)","P1667"
"ADMINISTRATIVE  SERVICES,  INC","59141"
"ADMINISTRATIVE CLAIM SERVICE, INC (WC)","J1005"
"ADMINISTRATIVE CONCEPTS, INC","22384"
"ADMINSURE (AUTO)","J2292"
"ADMINSURE (WC)","P2292"
"ADMIRAL LINEN & UNIFORM SERVICE (WC)","J2144"
"ADS WASTE HOLDINGS, INC. - WC","J2403"
"ADVA-NET - ERA ONLY","ADVAN"
"ADVANCE AMERICA CASH ADVANCE CENTERS - CO (AUTO)","J1843"
"ADVANCE AMERICA CASH ADVANCE CENTERS - CORV (WC)","P1843"
"ADVANCE AUTO PARTS - WC","J2404"
"ADVANCE SERVICES, INC. - CORVEL (AUTO)","J1608"
"ADVANCE SERVICES, INC. - CORVEL (WC)","P1608"
"ADVANCED AUTO PARTS - ALL STATES EXCEPT TX (WC)","J2162"
"ADVANCED AUTO PARTS - ALL STATES EXCEPT TX (WC)","J2162"
"ADVANCED AUTO PARTS - TX MN","J2161"
"ADVANCED AUTO PARTS - TX MN","J2161"
"ADVANCED AUTO PARTS - TX MN (WC)","P2161"
"ADVANCED AUTO PARTS - TX MN (WC)","P2161"
"ADVANCED MEDICAL DOCTORS OF CA","AMDC1"
"ADVANCED MEDICAL MANAGEMENT  - SEOUL MEDICAL GROUP","SMG01"
"ADVANCED MEDICAL MANAGEMENT - ACCESS MEDICAL GROUP","AMM06"
"ADVANCED MEDICAL MANAGEMENT - COMMUNITY CARE IPA","AMM12"
"ADVANSIX INC. - WC","J2405"
"ADVANSIX INC. - WC","J2405"
"ADVANSTAFF, INC","CMPUU"
"ADVANTAGE BY BUCKEYE COMMUNITY HEALTH PLAN","68056"
"ADVANTAGE BY SUPERIOR HEALTH PLAN","68069"
"ADVANTAGE HEALTH SOLUTIONS","35209"
"ADVANTAGE MED GROUP","NMM01"
"ADVANTAGE SALES & MARKETING INC. - WC","J2406"
"ADVANTAGE SALES & MARKETING INC. - WC","J2406"
"ADVANTAGE SOLUTIONS - WC","J2407"
"ADVANTAGE SOLUTIONS - WC","J2407"
"ADVANTEK BENEFIT ADMINISTRATORS","83077"
"ADVANTICA","59374"
"ADVANTUS/</br>PPOM   PREFERRED PROVIDER OF MI","98999"
"ADVANZEON SOLUTIONS","59314"
"ADVENTIST HEALTH CARE NETWORK","MPM51"
"ADVENTIST HEALTH PLAN","MPM37"
"ADVENTIST HEALTH PLAN (AHP) PROVIDER NETWORK","MPM38"
"ADVENTIST HEALTH SYSTEM (CONDUENT - FORMERLY BUNCH CARE SOLUTIONS) (WC ATTACHMENT)","J1973"
"ADVENTIST HEALTH SYSTEM WEST - ROSEVILLE, CA","95340"
"ADVICA- NEW YORK HOSPITAL COMMUNITY HEALTH PLAN","13373"
"ADVISORY HEALTH ADMINISTRATORS","CB159"
"ADVOCARE MCO, INC (WC)","J1896"
"ADVOCARE MCO, INC (WC)","J1896"
"ADVOCATE - CORVEL (WC)","J3985"
"ADVOCATE - CORVEL (WC)","J3985"
"ADVOCATE HEALTH CENTERS","36320"
"ADVOCATE HEALTH PARTNERS-65093","65093"
"AECOM - WC","J2408"
